Player,YearEnd,CareerPts,Rank
Wilt Chamberlain,1967,23442,1
Bob Pettit,1967,20880,2
Dolph Schayes,1967,18438,3
Elgin Baylor,1967,17842,4
Bob Cousy,1967,16955,5
Oscar Robertson,1967,16410,6
Paul Arizin,1967,16266,7
Jack Twyman,1967,15840,8
Richie Guerin,1967,14518,9
Jerry West,1967,13912,10
Wilt Chamberlain,1968,25434,1
Bob Pettit,1968,20880,2
Elgin Baylor,1968,19844,3
Dolph Schayes,1968,18438,4
Oscar Robertson,1968,18306,5
Bob Cousy,1968,16955,6
Paul Arizin,1968,16266,7
Jack Twyman,1968,15840,8
Jerry West,1968,15255,9
Hal Greer,1968,15247,10
Wilt Chamberlain,1969,27098,1
Elgin Baylor,1969,21725,2
Bob Pettit,1969,20880,3
Oscar Robertson,1969,20261,4
Dolph Schayes,1969,18438,5
Hal Greer,1969,17143,6
Bob Cousy,1969,16955,7
Jerry West,1969,16835,8
Paul Arizin,1969,16266,9
Bailey Howell,1969,15859,10
Wilt Chamberlain,1970,27426,1
Elgin Baylor,1970,23023,2
Oscar Robertson,1970,22009,3
Bob Pettit,1970,20880,4
Jerry West,1970,19144,5
Hal Greer,1970,18905,6
Dolph Schayes,1970,18438,7
Bob Cousy,1970,16960,8
Bailey Howell,1970,16892,9
Paul Arizin,1970,16266,10
Wilt Chamberlain,1971,29122,1
Oscar Robertson,1971,23578,2
Elgin Baylor,1971,23043,3
Jerry West,1971,21003,4
Bob Pettit,1971,20880,5
Hal Greer,1971,20413,6
Dolph Schayes,1971,18438,7
Bailey Howell,1971,17770,8
Walt Bellamy,1971,17205,9
Bob Cousy,1971,16960,10
Wilt Chamberlain,1972,30335,1
Oscar Robertson,1972,24692,2
Elgin Baylor,1972,23149,3
Jerry West,1972,22988,4
Hal Greer,1972,21372,5
Bob Pettit,1972,20880,6
Walt Bellamy,1972,18731,7
Dolph Schayes,1972,18438,8
Bailey Howell,1972,17770,9
John Havlicek,1972,17198,10
Wilt Chamberlain,1973,31419,1
Oscar Robertson,1973,25822,2
Jerry West,1973,24563,3
